1	19	93
2	87	36
3	7	42
4	17	95
5	56	27
6	16	10
7	97	28
8	15	97
9	62	37
10	90	81
11	52	28
12	28	82
13	37	74
14	54	0
15	78	62
16	54	57
17	36	20
18	66	60
19	92	42
20	14	4
21	46	55
22	53	66
23	71	59
24	53	48
25	69	35
26	76	14
27	80	6
28	69	67
29	20	96
30	26	81
31	43	59
32	12	48
33	45	85
34	49	53
35	4	34
36	36	33
37	83	92
38	54	63
39	15	0
40	13	36
41	42	41
42	59	7
43	24	34
44	23	11
45	77	53
46	74	48
47	60	15
48	94	3
49	64	94
50	27	43
51	39	21
52	48	15
53	22	74
54	96	50
55	38	65
56	76	69
57	37	55
58	75	82
59	10	82
60	59	44
61	59	82
62	15	47
63	31	59
64	89	30
65	14	56
66	1	65
67	13	61
68	79	15
69	23	97
70	57	49
71	17	7
72	48	2
73	30	87
74	9	25
75	54	92
76	28	26
77	96	69
78	13	86
79	47	58
80	31	7
81	71	49
82	62	21
83	8	56
84	66	76
85	99	40
86	12	84
87	52	72
88	5	42
89	89	32
90	89	60
91	27	83
92	18	1
93	57	73
94	81	64
95	62	79
96	55	97
97	36	9
98	9	82
99	18	85
100	0	8
101	46	22
102	50	69
103	63	64
104	48	68
105	17	52
106	43	76
107	32	75
108	47	88
109	14	35
110	87	74
111	85	81
112	34	43
113	84	94
114	35	80
115	5	72
116	16	6
117	1	49
118	29	72
119	79	71
120	26	91
121	17	38
122	74	56
123	86	28
124	22	27
125	44	91
126	8	93
127	39	23
128	34	70
129	34	20
130	92	20
131	73	23
132	3	30
133	45	65
134	56	40
135	68	62
136	58	59
137	4	79
138	85	47
139	41	41
140	29	25
141	18	70
142	34	16
143	64	59
144	2	82
145	95	13
146	1	99
147	41	90
148	60	5
149	98	67
150	49	36
151	54	71
152	90	38
153	0	16
154	54	54
155	73	79
156	11	93
157	97	7
158	66	35
159	9	98
160	33	5
161	88	49
162	9	56
163	63	90
164	6	57
165	20	15
166	90	69
167	4	82
168	89	6
169	54	48
170	12	0
171	46	21
172	76	62
173	45	6
174	23	65
175	56	91
176	61	51
177	95	11
178	94	27
179	52	94
180	26	20
181	49	96
182	11	67
183	43	12
184	83	91
185	49	50
186	66	97
187	57	42
188	64	85
189	93	79
190	54	25
191	18	42
192	84	38
193	9	27
194	14	27
195	69	45
196	26	96
197	1	25
198	72	97
199	48	17
200	11	53
201	45	66
202	66	88
203	69	78
204	62	64
205	45	19
206	76	48
207	67	97
208	76	55
209	58	33
210	79	23
211	95	43
212	53	6
213	79	95
214	95	92
215	98	50
216	63	86
217	8	33
218	17	30
219	1	22
220	28	58
221	72	3
222	13	39
223	75	93
224	65	87
225	63	67
226	61	77
227	69	13
228	22	23
229	97	75
230	57	82
231	40	32
232	80	31
233	34	9
234	91	78
235	98	95
236	31	3
237	6	28
238	96	87
239	49	67
240	33	67
241	24	53
242	9	7
243	32	69
244	13	70
245	78	58
246	97	26
247	37	81
248	66	25
249	57	69
250	40	67
251	84	31
252	74	18
253	42	77
254	82	7
255	99	4
256	42	34
257	37	27
258	67	93
259	89	19
260	12	49
261	73	37
262	51	58
263	38	64
264	27	86
265	73	43
266	43	21
267	49	90
268	39	45
269	72	2
270	4	99
271	17	99
272	83	32
273	36	80
274	37	86
275	12	80
276	63	79
277	8	4
278	19	69
279	84	75
280	34	14
281	92	73
282	67	85
283	47	86
284	53	5
285	49	41
286	45	44
287	96	48
288	53	25
289	55	21
290	53	64
291	48	30
292	53	82
293	55	74
294	42	6
295	26	41
296	12	20
297	19	88
298	62	84
299	32	52
300	88	89
301	63	52
302	33	10
303	58	38
304	17	78
305	84	96
306	17	71
307	28	40
308	81	47
309	53	85
310	52	18
311	78	4
312	10	22
313	76	68
314	58	78
315	67	1
316	36	18
317	36	26
318	54	14
319	68	38
320	38	61
321	71	81
322	6	41
323	25	7
324	99	92
325	54	37
326	13	19
327	3	4
328	22	42
